t,hour,day,week,month,season,year,hour_in_day,day_in_week,day_type
6553,6553,day_274,week_40,oct,winter,year_1,hid_1,sun,sunday
6554,6554,day_274,week_40,oct,winter,year_1,hid_2,sun,sunday
6555,6555,day_274,week_40,oct,winter,year_1,hid_3,sun,sunday
6556,6556,day_274,week_40,oct,winter,year_1,hid_4,sun,sunday
6557,6557,day_274,week_40,oct,winter,year_1,hid_5,sun,sunday
6558,6558,day_274,week_40,oct,winter,year_1,hid_6,sun,sunday
6559,6559,day_274,week_40,oct,winter,year_1,hid_7,sun,sunday
6560,6560,day_274,week_40,oct,winter,year_1,hid_8,sun,sunday
6561,6561,day_274,week_40,oct,winter,year_1,hid_9,sun,sunday
6562,6562,day_274,week_40,oct,winter,year_1,hid_10,sun,sunday
6563,6563,day_274,week_40,oct,winter,year_1,hid_11,sun,sunday
6564,6564,day_274,week_40,oct,winter,year_1,hid_12,sun,sunday
6565,6565,day_274,week_40,oct,winter,year_1,hid_13,sun,sunday
6566,6566,day_274,week_40,oct,winter,year_1,hid_14,sun,sunday
6567,6567,day_274,week_40,oct,winter,year_1,hid_15,sun,sunday
6568,6568,day_274,week_40,oct,winter,year_1,hid_16,sun,sunday
6569,6569,day_274,week_40,oct,winter,year_1,hid_17,sun,sunday
6570,6570,day_274,week_40,oct,winter,year_1,hid_18,sun,sunday
6571,6571,day_274,week_40,oct,winter,year_1,hid_19,sun,sunday
6572,6572,day_274,week_40,oct,winter,year_1,hid_20,sun,sunday
6573,6573,day_274,week_40,oct,winter,year_1,hid_21,sun,sunday
6574,6574,day_274,week_40,oct,winter,year_1,hid_22,sun,sunday
6575,6575,day_274,week_40,oct,winter,year_1,hid_23,sun,sunday
6576,6576,day_274,week_40,oct,winter,year_1,hid_24,sun,sunday
6577,6577,day_275,week_40,oct,winter,year_1,hid_1,mon,weekday
6578,6578,day_275,week_40,oct,winter,year_1,hid_2,mon,weekday
6579,6579,day_275,week_40,oct,winter,year_1,hid_3,mon,weekday
6580,6580,day_275,week_40,oct,winter,year_1,hid_4,mon,weekday
6581,6581,day_275,week_40,oct,winter,year_1,hid_5,mon,weekday
6582,6582,day_275,week_40,oct,winter,year_1,hid_6,mon,weekday
6583,6583,day_275,week_40,oct,winter,year_1,hid_7,mon,weekday
6584,6584,day_275,week_40,oct,winter,year_1,hid_8,mon,weekday
6585,6585,day_275,week_40,oct,winter,year_1,hid_9,mon,weekday
6586,6586,day_275,week_40,oct,winter,year_1,hid_10,mon,weekday
6587,6587,day_275,week_40,oct,winter,year_1,hid_11,mon,weekday
6588,6588,day_275,week_40,oct,winter,year_1,hid_12,mon,weekday
6589,6589,day_275,week_40,oct,winter,year_1,hid_13,mon,weekday
6590,6590,day_275,week_40,oct,winter,year_1,hid_14,mon,weekday
6591,6591,day_275,week_40,oct,winter,year_1,hid_15,mon,weekday
6592,6592,day_275,week_40,oct,winter,year_1,hid_16,mon,weekday
6593,6593,day_275,week_40,oct,winter,year_1,hid_17,mon,weekday
6594,6594,day_275,week_40,oct,winter,year_1,hid_18,mon,weekday
6595,6595,day_275,week_40,oct,winter,year_1,hid_19,mon,weekday
6596,6596,day_275,week_40,oct,winter,year_1,hid_20,mon,weekday
6597,6597,day_275,week_40,oct,winter,year_1,hid_21,mon,weekday
6598,6598,day_275,week_40,oct,winter,year_1,hid_22,mon,weekday
6599,6599,day_275,week_40,oct,winter,year_1,hid_23,mon,weekday
6600,6600,day_275,week_40,oct,winter,year_1,hid_24,mon,weekday
6601,6601,day_276,week_40,oct,winter,year_1,hid_1,tue,weekday
6602,6602,day_276,week_40,oct,winter,year_1,hid_2,tue,weekday
6603,6603,day_276,week_40,oct,winter,year_1,hid_3,tue,weekday
6604,6604,day_276,week_40,oct,winter,year_1,hid_4,tue,weekday
6605,6605,day_276,week_40,oct,winter,year_1,hid_5,tue,weekday
6606,6606,day_276,week_40,oct,winter,year_1,hid_6,tue,weekday
6607,6607,day_276,week_40,oct,winter,year_1,hid_7,tue,weekday
6608,6608,day_276,week_40,oct,winter,year_1,hid_8,tue,weekday
6609,6609,day_276,week_40,oct,winter,year_1,hid_9,tue,weekday
6610,6610,day_276,week_40,oct,winter,year_1,hid_10,tue,weekday
6611,6611,day_276,week_40,oct,winter,year_1,hid_11,tue,weekday
6612,6612,day_276,week_40,oct,winter,year_1,hid_12,tue,weekday
6613,6613,day_276,week_40,oct,winter,year_1,hid_13,tue,weekday
6614,6614,day_276,week_40,oct,winter,year_1,hid_14,tue,weekday
6615,6615,day_276,week_40,oct,winter,year_1,hid_15,tue,weekday
6616,6616,day_276,week_40,oct,winter,year_1,hid_16,tue,weekday
6617,6617,day_276,week_40,oct,winter,year_1,hid_17,tue,weekday
6618,6618,day_276,week_40,oct,winter,year_1,hid_18,tue,weekday
6619,6619,day_276,week_40,oct,winter,year_1,hid_19,tue,weekday
6620,6620,day_276,week_40,oct,winter,year_1,hid_20,tue,weekday
6621,6621,day_276,week_40,oct,winter,year_1,hid_21,tue,weekday
6622,6622,day_276,week_40,oct,winter,year_1,hid_22,tue,weekday
6623,6623,day_276,week_40,oct,winter,year_1,hid_23,tue,weekday
6624,6624,day_276,week_40,oct,winter,year_1,hid_24,tue,weekday
6625,6625,day_277,week_40,oct,winter,year_1,hid_1,wed,weekday
6626,6626,day_277,week_40,oct,winter,year_1,hid_2,wed,weekday
6627,6627,day_277,week_40,oct,winter,year_1,hid_3,wed,weekday
6628,6628,day_277,week_40,oct,winter,year_1,hid_4,wed,weekday
6629,6629,day_277,week_40,oct,winter,year_1,hid_5,wed,weekday
6630,6630,day_277,week_40,oct,winter,year_1,hid_6,wed,weekday
6631,6631,day_277,week_40,oct,winter,year_1,hid_7,wed,weekday
6632,6632,day_277,week_40,oct,winter,year_1,hid_8,wed,weekday
6633,6633,day_277,week_40,oct,winter,year_1,hid_9,wed,weekday
6634,6634,day_277,week_40,oct,winter,year_1,hid_10,wed,weekday
6635,6635,day_277,week_40,oct,winter,year_1,hid_11,wed,weekday
6636,6636,day_277,week_40,oct,winter,year_1,hid_12,wed,weekday
6637,6637,day_277,week_40,oct,winter,year_1,hid_13,wed,weekday
6638,6638,day_277,week_40,oct,winter,year_1,hid_14,wed,weekday
6639,6639,day_277,week_40,oct,winter,year_1,hid_15,wed,weekday
6640,6640,day_277,week_40,oct,winter,year_1,hid_16,wed,weekday
6641,6641,day_277,week_40,oct,winter,year_1,hid_17,wed,weekday
6642,6642,day_277,week_40,oct,winter,year_1,hid_18,wed,weekday
6643,6643,day_277,week_40,oct,winter,year_1,hid_19,wed,weekday
6644,6644,day_277,week_40,oct,winter,year_1,hid_20,wed,weekday
6645,6645,day_277,week_40,oct,winter,year_1,hid_21,wed,weekday
6646,6646,day_277,week_40,oct,winter,year_1,hid_22,wed,weekday
