Technology,Size,Year,Unit,Variant,Investment_cost,Currency_Year,Source
WindOn,,2020,CHF/kWe,Low,2000,2020,https://sweet-cross.ch/crossdat/
WindOn,,2020,CHF/kWe,Reference,2500,2020,https://sweet-cross.ch/crossdat/
WindOn,,2020,CHF/kWe,High,3000,2020,https://sweet-cross.ch/crossdat/
WindOn,,2030,CHF/kWe,Low,1846,2020,https://sweet-cross.ch/crossdat/
WindOn,,2030,CHF/kWe,Reference,2308,2020,https://sweet-cross.ch/crossdat/
WindOn,,2030,CHF/kWe,High,2769,2020,https://sweet-cross.ch/crossdat/
WindOn,,2040,CHF/kWe,Low,1672,2020,https://sweet-cross.ch/crossdat/
WindOn,,2040,CHF/kWe,Reference,1992,2020,https://sweet-cross.ch/crossdat/
WindOn,,2040,CHF/kWe,High,2392,2020,https://sweet-cross.ch/crossdat/
WindOn,,2050,CHF/kWe,Low,1497,2020,https://sweet-cross.ch/crossdat/
WindOn,,2050,CHF/kWe,Reference,1871,2020,https://sweet-cross.ch/crossdat/
WindOn,,2050,CHF/kWe,High,2246,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2020,CHF/kWe,Low,1456,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2020,CHF/kWe,Reference,2692,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2020,CHF/kWe,High,3928,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2030,CHF/kWe,Low,1247,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2030,CHF/kWe,Reference,2305,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2030,CHF/kWe,High,3364,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2040,CHF/kWe,Low,1036,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2040,CHF/kWe,Reference,1722,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2040,CHF/kWe,High,2513,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2050,CHF/kWe,Low,825,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2050,CHF/kWe,Reference,1526,2020,https://sweet-cross.ch/crossdat/
PV-roof,0 - 10 kWp,2050,CHF/kWe,High,2227,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2020,CHF/kWe,Low,1219,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2020,CHF/kWe,Reference,2071,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2020,CHF/kWe,High,2923,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2030,CHF/kWe,Low,1049,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2030,CHF/kWe,Reference,1782,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2030,CHF/kWe,High,2516,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2040,CHF/kWe,Low,741,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2040,CHF/kWe,Reference,1259,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2040,CHF/kWe,High,1777,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2050,CHF/kWe,Low,603,2020,https://sweet-cross.ch/crossdat/
PV-roof,10 - 30 kWp,2050,CHF/kWe,Reference,1024,2020,https://sweet-cross.ch/crossdat/
